[2026-08-04T17:59:16.611Z] GET https://cdn.jsdelivr.net/npm/animejs/dist/bundles/anime.umd.min.js → 200 (?ms, -749B)
[2026-08-04T17:59:16.620Z] GET http://localhost:8934/assets/disassemble/home-screen.jpg → 200 (1ms, -188B)
[2026-08-04T17:59:16.621Z] GET http://localhost:8934/assets/disassemble/progress-card.jpg → 200 (?ms, -188B)
[2026-08-04T17:59:16.621Z] GET http://localhost:8934/assets/disassemble/pr-badge.jpg → 200 (?ms, -187B)
[2026-08-04T17:59:16.621Z] GET http://localhost:8934/assets/barbell/plate-45.webp → 200 (?ms, -188B)
[2026-08-04T17:59:16.621Z] GET http://localhost:8934/assets/barbell/plate-35.webp → 200 (?ms, -188B)
[2026-08-04T17:59:16.621Z] GET http://localhost:8934/assets/barbell/plate-25.webp → 200 (?ms, -187B)
[2026-08-04T17:59:16.621Z] GET http://localhost:8934/assets/barbell/plate-10.webp → 200 (?ms, -187B)
[2026-08-04T17:59:16.621Z] GET http://localhost:8934/assets/barbell/bar.webp → 200 (?ms, -187B)
[2026-08-04T17:59:55.470Z] GET http://localhost:8934/index.html?bb=6 → 200 (2ms, 74350B)
[2026-08-04T17:59:55.475Z] GET http://localhost:8934/assets/setpr-icon.png → 200 (?ms, -189B)
[2026-08-04T17:59:55.475Z] GET http://localhost:8934/assets/hero-phone-poster.jpg → 200 (?ms, -188B)
[2026-08-04T17:59:55.476Z] GET https://cdn.jsdelivr.net/npm/motion@12.42.2/dist/motion.js → 200 (?ms, -770B)
[2026-08-04T17:59:55.476Z] GET https://cdn.jsdelivr.net/npm/gsap@3.15/dist/gsap.min.js → 200 (?ms, -752B)
[2026-08-04T17:59:55.476Z] GET https://cdn.jsdelivr.net/npm/gsap@3.15/dist/ScrollTrigger.min.js → 200 (?ms, -750B)
[2026-08-04T17:59:55.477Z] GET https://cdn.jsdelivr.net/npm/animejs/dist/bundles/anime.umd.min.js → 200 (?ms, -749B)
[2026-08-04T17:59:55.487Z] GET http://localhost:8934/assets/disassemble/home-screen.jpg → 200 (?ms, -188B)
[2026-08-04T17:59:55.487Z] GET http://localhost:8934/assets/disassemble/progress-card.jpg → 200 (?ms, -188B)
[2026-08-04T17:59:55.487Z] GET http://localhost:8934/assets/disassemble/pr-badge.jpg → 200 (?ms, -187B)
[2026-08-04T18:00:07.712Z] GET http://localhost:8934/assets/barbell/plate-45.webp → 304 (2ms, ?B)
[2026-08-04T18:00:07.712Z] GET http://localhost:8934/assets/barbell/plate-35.webp → 304 (2ms, ?B)
[2026-08-04T18:00:07.712Z] GET http://localhost:8934/assets/barbell/plate-25.webp → 304 (2ms, ?B)
[2026-08-04T18:00:07.712Z] GET http://localhost:8934/assets/barbell/plate-10.webp → 304 (2ms, ?B)
[2026-08-04T18:00:07.712Z] GET http://localhost:8934/assets/barbell/bar.webp → 304 (3ms, ?B)
[2026-08-04T18:01:35.879Z] GET http://localhost:8934/index.html?bb=7 → 200 (1ms, 74403B)
[2026-08-04T18:01:35.884Z] GET http://localhost:8934/assets/setpr-icon.png → 200 (?ms, -189B)
[2026-08-04T18:01:35.884Z] GET http://localhost:8934/assets/hero-phone-poster.jpg → 200 (?ms, -188B)
[2026-08-04T18:01:35.884Z] GET https://cdn.jsdelivr.net/npm/motion@12.42.2/dist/motion.js → 200 (?ms, -770B)
[2026-08-04T18:01:35.885Z] GET https://cdn.jsdelivr.net/npm/gsap@3.15/dist/gsap.min.js → 200 (?ms, -752B)
[2026-08-04T18:01:35.885Z] GET https://cdn.jsdelivr.net/npm/gsap@3.15/dist/ScrollTrigger.min.js → 200 (?ms, -750B)
[2026-08-04T18:01:35.885Z] GET https://cdn.jsdelivr.net/npm/animejs/dist/bundles/anime.umd.min.js → 200 (?ms, -749B)
[2026-08-04T18:01:35.897Z] GET http://localhost:8934/assets/disassemble/home-screen.jpg → 200 (?ms, -188B)
[2026-08-04T18:01:35.897Z] GET http://localhost:8934/assets/disassemble/progress-card.jpg → 200 (?ms, -188B)
[2026-08-04T18:01:35.897Z] GET http://localhost:8934/assets/disassemble/pr-badge.jpg → 200 (?ms, -187B)
[2026-08-04T18:01:35.897Z] GET http://localhost:8934/assets/hero-phone.mp4 → 206 (6ms, -239B)
[2026-08-04T18:01:47.859Z] GET http://localhost:8934/assets/barbell/plate-45.webp → 304 (2ms, ?B)
[2026-08-04T18:01:47.859Z] GET http://localhost:8934/assets/barbell/plate-35.webp → 304 (2ms, ?B)
[2026-08-04T18:01:47.859Z] GET http://localhost:8934/assets/barbell/plate-25.webp → 304 (2ms, ?B)
[2026-08-04T18:01:47.859Z] GET http://localhost:8934/assets/barbell/plate-10.webp → 304 (3ms, ?B)
[2026-08-04T18:01:47.859Z] GET http://localhost:8934/assets/barbell/bar.webp → 304 (3ms, ?B)
[2026-08-04T18:02:02.080Z] GET http://localhost:8934/index.html?bb=8 → 200 (1ms, 74403B)
[2026-08-04T18:02:02.085Z] GET http://localhost:8934/assets/setpr-icon.png → 200 (?ms, -189B)
[2026-08-04T18:02:02.085Z] GET http://localhost:8934/assets/hero-phone-poster.jpg → 200 (?ms, -188B)
[2026-08-04T18:02:02.085Z] GET https://cdn.jsdelivr.net/npm/motion@12.42.2/dist/motion.js → 200 (1ms, -770B)
[2026-08-04T18:02:02.086Z] GET https://cdn.jsdelivr.net/npm/gsap@3.15/dist/gsap.min.js → 200 (?ms, -752B)
[2026-08-04T18:02:02.086Z] GET https://cdn.jsdelivr.net/npm/gsap@3.15/dist/ScrollTrigger.min.js → 200 (?ms, -750B)
[2026-08-04T18:02:02.086Z] GET https://cdn.jsdelivr.net/npm/animejs/dist/bundles/anime.umd.min.js → 200 (?ms, -749B)
[2026-08-04T18:02:02.100Z] GET http://localhost:8934/assets/disassemble/home-screen.jpg → 200 (?ms, -188B)
[2026-08-04T18:02:02.100Z] GET http://localhost:8934/assets/disassemble/progress-card.jpg → 200 (?ms, -188B)
[2026-08-04T18:02:02.100Z] GET http://localhost:8934/assets/disassemble/pr-badge.jpg → 200 (?ms, -187B)
[2026-08-04T18:02:02.100Z] GET http://localhost:8934/assets/barbell/plate-45.webp → 200 (?ms, -188B)
[2026-08-04T18:02:02.100Z] GET http://localhost:8934/assets/barbell/plate-35.webp → 200 (?ms, -188B)
[2026-08-04T18:02:02.100Z] GET http://localhost:8934/assets/barbell/plate-25.webp → 200 (1ms, -187B)
[2026-08-04T18:02:02.101Z] GET http://localhost:8934/assets/barbell/plate-10.webp → 200 (?ms, -187B)
[2026-08-04T18:02:02.101Z] GET http://localhost:8934/assets/barbell/bar.webp → 200 (?ms, -187B)
